Rank	Doc	Rating
1	215	0.89
2	196	0.81
3	87	0.8
4	56	0.73
5	53	0.69
6	152	0.69
7	32	0.66
8	209	0.65
9	125	0.64
10	207	0.61
11	72	0.61
12	232	0.61
13	47	0.61
14	220	0.61
15	99	0.61
16	96	0.61
17	117	0.61
18	244	0.6
19	172	0.59
20	5	0.57
21	31	0.57
22	54	0.57
23	51	0.56
24	238	0.53
25	112	0.53
26	160	0.53
27	201	0.53
28	163	0.53
29	39	0.52
30	170	0.5
31	164	0.46
32	30	0.45
33	184	0.41
34	15	0.41
35	38	0.4
36	65	0.39
37	144	0.38
38	107	0.38
39	8	0.37
40	212	0.37
41	85	0.36
42	28	0.36
43	175	0.36
44	16	0.36
45	17	0.34
46	69	0.33
47	141	0.33
48	114	0.33
49	235	0.32
50	194	0.32
51	18	0.32
52	24	0.3
53	245	0.3
54	49	0.3
55	221	0.29
56	161	0.29
57	249	0.29
58	89	0.29
59	139	0.28
60	127	0.28
61	129	0.28
62	78	0.28
63	122	0.28
64	115	0.28
65	52	0.28
66	149	0.28
67	70	0.28
68	119	0.28
69	150	0.28
70	243	0.26
71	185	0.26
72	138	0.26
73	158	0.25
74	91	0.24
75	248	0.24
76	173	0.23
77	227	0.23
78	59	0.22
79	64	0.22
80	36	0.22
81	22	0.21
82	156	0.21
83	71	0.2
84	124	0.2
85	199	0.2
86	239	0.2
87	193	0.2
88	113	0.2
89	108	0.2
90	197	0.19
91	159	0.19
92	26	0.19
93	9	0.19
94	121	0.17
95	167	0.17
96	143	0.17
97	213	0.16
98	223	0.16
99	198	0.16
100	171	0.16
101	45	0.16
102	10	0.15
103	189	0.15
104	142	0.15
105	216	0.15
106	79	0.14
107	222	0.14
108	77	0.14
109	229	0.13
110	94	0.13
111	75	0.13
112	179	0.13
113	41	0.13
114	225	0.13
115	133	0.13
116	208	0.13
117	14	0.13
118	25	0.12
119	178	0.12
120	86	0.12
121	68	0.12
122	48	0.12
123	137	0.12
124	250	0.12
125	166	0.12
126	241	0.12
127	29	0.11
128	83	0.11
129	60	0.11
130	210	0.11
131	46	0.11
132	136	0.1
133	98	0.1
134	42	0.08
135	128	0.08
136	204	0.08
137	21	0.08
138	116	0.08
139	246	0.08
140	126	0.08
141	195	0.08
142	23	0.08
143	155	0.08
144	104	0.08
145	92	0.08
146	219	0.08
147	190	0.08
148	88	0.08
149	134	0.08
150	177	0.08
151	19	0.08
152	181	0.08
153	50	0.08
154	110	0.08
155	33	0.08
156	12	0.08
157	4	0.08
158	202	0.08
159	93	0.08
160	157	0.08
161	7	0.08
162	186	0.08
163	111	0.08
164	187	0.07
165	13	0.07
166	153	0.07
167	168	0.07
168	224	0.06
169	58	0.06
170	105	0.06
171	80	0.06
172	151	0.06
173	123	0.06
174	90	0.06
175	20	0.06
176	145	0.06
177	200	0.06
178	43	0.06
179	57	0.06
180	97	0.06
181	82	0.06
182	180	0.04
183	66	0.04
184	62	0.04
185	118	0.04
186	165	0.04
187	218	0.04
188	140	0.04
189	132	0.04
190	76	0.04
191	247	0.04
192	61	0.04
193	192	0.04
194	109	0.04
195	205	0.04
