Rank	Doc	Rating
1	232	1.07
2	215	1.03
3	15	0.85
4	56	0.82
5	170	0.82
6	125	0.81
7	72	0.78
8	47	0.78
9	65	0.73
10	139	0.73
11	53	0.72
12	14	0.72
13	209	0.72
14	38	0.68
15	39	0.68
16	51	0.66
17	198	0.64
18	213	0.63
19	155	0.63
20	153	0.61
21	168	0.61
22	62	0.59
23	118	0.59
24	142	0.59
25	22	0.58
26	207	0.57
27	220	0.57
28	87	0.57
29	152	0.57
30	99	0.57
31	96	0.57
32	5	0.57
33	85	0.57
34	127	0.57
35	129	0.57
36	78	0.57
37	194	0.56
38	138	0.56
39	235	0.53
40	164	0.51
41	52	0.51
42	36	0.5
43	120	0.5
44	237	0.5
45	26	0.5
46	182	0.5
47	217	0.5
48	135	0.5
49	159	0.5
50	4	0.5
51	184	0.48
52	115	0.48
53	94	0.47
54	30	0.46
55	175	0.45
56	16	0.44
57	243	0.44
58	196	0.42
59	122	0.4
60	113	0.38
61	143	0.37
62	17	0.35
63	193	0.35
64	173	0.35
65	24	0.35
66	136	0.35
67	31	0.35
68	18	0.35
69	149	0.35
70	70	0.35
71	119	0.35
72	150	0.35
73	245	0.35
74	185	0.35
75	48	0.35
76	224	0.34
77	21	0.34
78	121	0.33
79	107	0.33
80	197	0.33
81	222	0.33
82	208	0.33
83	86	0.33
84	82	0.32
85	28	0.31
86	71	0.31
87	91	0.31
88	124	0.31
89	199	0.31
90	248	0.31
91	239	0.31
92	229	0.31
93	98	0.31
94	19	0.3
95	250	0.3
96	165	0.3
97	54	0.3
98	151	0.29
99	68	0.29
100	8	0.28
101	195	0.28
102	212	0.28
103	79	0.27
104	59	0.27
105	144	0.27
106	223	0.27
107	20	0.27
108	57	0.27
109	88	0.27
110	123	0.26
111	64	0.25
112	141	0.25
113	77	0.25
114	158	0.24
115	41	0.24
116	246	0.24
117	25	0.24
118	10	0.24
119	180	0.24
120	181	0.24
121	225	0.22
122	69	0.22
123	49	0.22
124	133	0.22
125	32	0.22
126	156	0.22
127	81	0.21
128	176	0.21
129	230	0.21
130	226	0.21
131	76	0.21
132	109	0.21
133	192	0.21
134	166	0.2
135	241	0.16
136	63	0.16
137	154	0.16
138	174	0.16
139	169	0.16
140	210	0.16
141	103	0.16
142	111	0.16
143	100	0.15
144	11	0.15
145	9	0.15
146	93	0.15
147	231	0.15
148	202	0.15
149	108	0.14
150	137	0.14
151	92	0.14
152	219	0.14
153	190	0.14
154	117	0.14
155	187	0.14
156	75	0.13
157	179	0.13
158	58	0.13
159	105	0.13
160	80	0.13
161	42	0.13
162	128	0.13
163	204	0.13
164	116	0.13
165	126	0.13
166	178	0.13
167	23	0.13
168	104	0.13
169	167	0.11
170	90	0.11
171	145	0.11
172	200	0.11
173	43	0.11
174	97	0.11
175	172	0.11
176	189	0.11
177	13	0.11
178	244	0.11
179	171	0.11
180	45	0.11
181	134	0.11
182	177	0.11
183	1	0.11
184	234	0.11
185	83	0.11
186	188	0.11
187	37	0.11
188	50	0.11
189	110	0.11
190	89	0.11
191	148	0.11
192	66	0.09
193	227	0.09
194	218	0.09
195	140	0.09
196	132	0.09
197	114	0.09
198	216	0.09
